Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,hours,minutes,duration
John Rambo,Tamil,7.0,2008.0,18+,1,26,1-2 hrs
American Pie,English,7.0,1999.0,18+,1,35,1-2 hrs
Bombshell,English,6.8,2019.0,18+,1,48,1-2 hrs
Love Birds,Tamil,5.1,1996.0,All,2,40,2-3 hrs
Hippi,Telugu,5.0,2019.0,18+,2,20,2-3 hrs
Honey Bunny As Super Team X,Tamil,,2018.0,7+,0,49,30-60 mins
Ayyaa,Tamil,5.7,2005.0,All,2,39,2-3 hrs
Mukhya Mantri,Bengali,,1996.0,NR,1,57,1-2 hrs
Gandhi Fer Aa Gea,Punjabi,4.9,2020.0,13+,2,13,2-3 hrs
Premada Vayasu,Kannada,6.0,1997.0,NR,1,56,1-2 hrs
Tum Se Achcha Kaun Hai,Hindi,4.5,2002.0,All,2,21,2-3 hrs
Swamy,Kannada,6.0,2005.0,All,2,34,2-3 hrs
Ekkees Tareekh Shubh Muhurat,Hindi,5.7,2018.0,All,1,33,1-2 hrs
Sealers: One Last Hunt,English,7.7,2020.0,13+,0,56,30-60 mins
Lonavala Bypass,Marathi,,2009.0,13+,1,46,1-2 hrs
Project Almanac,English,6.4,2015.0,13+,1,46,1-2 hrs
Nanna Prema,Telugu,,2019.0,13+,2,23,2-3 hrs
Ghost Stories,English,6.4,2018.0,18+,1,33,1-2 hrs
Basthi Mey Saval,Telugu,,2002.0,NR,1,49,1-2 hrs
Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,2002.0,13+,2,32,2-3 hrs
Devdas,Hindi,7.6,,All,2,35,2-3 hrs
Akashadoothu,Malayalam,7.4,1993.0,All,2,13,2-3 hrs
Mera Pind: My Home,Punjabi,6.6,2008.0,All,2,44,2-3 hrs
City of football,Bengali,,2019.0,13+,0,2,<30 mins
300: Rise of an Empire,Tamil,6.2,2014.0,18+,1,42,1-2 hrs
Nana Mama,Marathi,5.8,2006.0,All,2,19,2-3 hrs
Hutututu Aavi Ramat Ni Rutu,Gujarati,7.2,2016.0,All,2,13,2-3 hrs
Uss Din,Hindi,7.4,2010.0,18+,0,11,<30 mins
Edge of Obedience,English,8.6,2020.0,13+,0,51,30-60 mins
Eye To Eye With Everest: Death On A Mountain,English,,2019.0,13+,1,25,1-2 hrs
Megh-O-Roudra,Bengali,,,NR,1,36,1-2 hrs
Kanhaiya Ek Yodha (Hindi),Hindi,4.7,2019.0,13+,1,56,1-2 hrs
Yajamana,Kannada,6.7,2019.0,13+,2,41,2-3 hrs
Sketch,Telugu,5.7,2018.0,13+,2,13,2-3 hrs
Toonpur Ka Superrhero,Hindi,4.2,2010.0,NR,1,35,1-2 hrs
Pinky Mogewali,Punjabi,3.7,2012.0,13+,2,14,2-3 hrs
Ong-Bak: Muay Thai Warrior,English,7.2,2005.0,16+,1,40,1-2 hrs
Murder,Telugu,,2020.0,13+,1,50,1-2 hrs
Great Sardaar,Punjabi,5.2,2017.0,13+,1,48,1-2 hrs
Kharij,Bengali,,2019.0,13+,1,30,1-2 hrs
Open Water,English,5.7,2004.0,18+,1,19,1-2 hrs
Prema Kama,Kannada,5.9,1978.0,NR,1,38,1-2 hrs
Jhankaar Beats,Hindi,7.2,2003.0,18+,2,11,2-3 hrs
Volcano Returns,Hindi,,2014.0,NR,1,24,1-2 hrs
Law Abiding Citizen,Tamil,7.4,2009.0,18+,1,44,1-2 hrs
Sei To Abar Kache Ele,Bengali,,2017.0,13+,2,18,2-3 hrs
48 Hrs.,English,6.9,1982.0,18+,1,36,1-2 hrs
K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,2018.0,13+,2,34,2-3 hrs
Stronger (2017),English,6.9,2017.0,18+,1,59,1-2 hrs
Teen Cup Chaa,Bengali,5.7,2018.0,13+,0,47,30-60 mins
Ramgarh Ke Sholay,Hindi,4.8,1991.0,All,2,4,2-3 hrs
Parampara,Hindi,5.7,1993.0,13+,2,28,2-3 hrs
Manmatha Raja,Kannada,5.1,1989.0,NR,2,9,2-3 hrs
Badal,Hindi,4.9,,NR,2,15,2-3 hrs
Sahara,Hindi,6.0,,NR,2,15,2-3 hrs
Jamalaye Jibanta Manush,Bengali,7.5,,NR,2,3,2-3 hrs
Dash Mash Dash Diner Galpo,Bengali,5.7,2019.0,All,1,54,1-2 hrs
Bodhai Yeri Budhi Maari,Tamil,6.4,2019.0,13+,1,57,1-2 hrs
Crack,Kannada,,2017.0,NR,2,22,2-3 hrs
Campus,Telugu,,2000.0,NR,1,10,1-2 hrs
Hare Kanch Ki Chooriyan,Hindi,6.5,,NR,2,27,2-3 hrs
Pagadi Aattam,Tamil,5.7,2017.0,All,2,2,2-3 hrs
World War Z,Hindi,7.0,2013.0,13+,1,56,1-2 hrs
Joy of Data,English,6.9,2016.0,13+,0,59,30-60 mins
Faasle,Hindi,4.6,1985.0,16+,2,26,2-3 hrs
Vasudev Balwant Phadke,Marathi,6.5,2007.0,All,2,6,2-3 hrs
Sakthivel,Tamil,,1994.0,All,2,29,2-3 hrs
Angakkuri,Malayalam,,1979.0,NR,2,22,2-3 hrs
Thinkalaazhcha Nalla Divasam,Malayalam,7.2,1985.0,All,1,59,1-2 hrs
Adhyan,Tamil,,2015.0,All,1,48,1-2 hrs
Keechu Raallu,Telugu,,2005.0,NR,2,3,2-3 hrs
Uttara Dakshina,Kannada,,1972.0,NR,2,25,2-3 hrs
Punnami Rathri,Telugu,,1985.0,NR,2,1,2-3 hrs
Greenfingers,English,6.8,2001.0,18+,1,31,1-2 hrs
Vitamin She,Gujarati,5.7,2017.0,13+,2,17,2-3 hrs
Mayer Aasirbad,Bengali,,2017.0,13+,2,38,2-3 hrs
Chaduranga,Kannada,6.1,1985.0,NR,2,18,2-3 hrs
Mugavaree,Tamil,7.2,2000.0,All,2,36,2-3 hrs
Qatil,Hindi,6.0,1988.0,13+,2,20,2-3 hrs
Noor Jahan,Bengali,5.3,2018.0,13+,2,22,2-3 hrs
Innuma Nambalai Namburanga,Tamil,,2014.0,NR,2,10,2-3 hrs
Aftermath,English,5.7,2017.0,16+,1,33,1-2 hrs
Ranjha Refugee,Punjabi,5.5,2018.0,All,2,2,2-3 hrs
Jab Tak Hai Jaan,Hindi,6.7,2012.0,13+,2,56,2-3 hrs
Vendetta (2015),English,,2015.0,16+,1,30,1-2 hrs
Partner,Hindi,5.7,2007.0,NR,2,22,2-3 hrs
Daphne,English,6.1,2017.0,18+,1,27,1-2 hrs
Urumbukal Urangarilla,Malayalam,6.4,2015.0,13+,2,13,2-3 hrs
Neeharika,Malayalam,,2014.0,NR,1,50,1-2 hrs
Jayasimha,Kannada,7.1,1987.0,NR,2,21,2-3 hrs
Despicable Me,Hindi,7.6,2010.0,7+,1,34,1-2 hrs
Mud,English,7.4,2012.0,16+,2,10,2-3 hrs
Mere Yaar Ki Shaadi Hai,Hindi,5.3,2002.0,All,2,39,2-3 hrs
Homefront,English,6.5,2013.0,18+,1,36,1-2 hrs
Gladiator,English,8.5,2000.0,18+,2,34,2-3 hrs
Mantramugdha,Bengali,,1977.0,NR,2,5,2-3 hrs
De Dana Dan,Hindi,5.4,2009.0,NR,2,47,2-3 hrs
Rockstar,Hindi,7.7,2011.0,NR,2,37,2-3 hrs
The Pursuit of Happyness,English,8.0,2006.0,All,1,57,1-2 hrs
Baba Taraknath,Bengali,5.5,1977.0,All,2,30,2-3 hrs
Rajlakshmi O Srikanta,Bengali,6.2,2017.0,13+,2,12,2-3 hrs
Surya IPS,Telugu,6.9,1991.0,NR,2,23,2-3 hrs
Dil Jo Na Keh Saka,Hindi,5.4,2017.0,13+,2,5,2-3 hrs
Champion,Telugu,,1992.0,NR,2,6,2-3 hrs
Gatham (Kannada),Kannada,6.1,2020.0,18+,1,41,1-2 hrs
Dirty Dancing,English,7.0,1987.0,13+,1,40,1-2 hrs
Gatham (Malayalam),Malayalam,6.1,2020.0,18+,1,41,1-2 hrs
Ishhya,Marathi,5.5,2006.0,All,1,59,1-2 hrs
Ek Aur Ekk Gyaraah,Hindi,,1981.0,NR,2,29,2-3 hrs
Universal Soldier: Day of Reckoning,Telugu,5.0,2012.0,18+,1,45,1-2 hrs
Manikarnika: The Queen of Jhansi,Tamil,6.4,2019.0,16+,2,20,2-3 hrs
Rowdy Baadshah,Hindi,6.4,2014.0,13+,2,10,2-3 hrs
Manamulla Marutharam,Tamil,,1958.0,NR,2,27,2-3 hrs
Dare,Telugu,5.8,2011.0,NR,2,25,2-3 hrs
Jeevana Raagam,Telugu,,1986.0,NR,2,15,2-3 hrs
Sugar Salt Ani Prem,Marathi,6.2,2015.0,All,2,5,2-3 hrs
Evil Eye,English,4.7,2020.0,16+,1,29,1-2 hrs
Swarg,Hindi,6.7,1990.0,All,2,31,2-3 hrs
Poojaikku Vantha Malar,Tamil,7.5,1965.0,NR,2,41,2-3 hrs
Bastard,English,,2010.0,NR,0,7,<30 mins
Karunamoyee,Bengali,,2017.0,13+,2,23,2-3 hrs
Nayakan,Tamil,8.6,1987.0,18+,2,36,2-3 hrs
Twister,Hindi,6.4,1996.0,13+,1,53,1-2 hrs
Bal Ganesh 3 (Tamil),Tamil,5.2,2015.0,7+,1,8,1-2 hrs
Goonda,Telugu,7.0,1984.0,NR,2,17,2-3 hrs
Bazar,Hindi,6.0,,NR,2,28,2-3 hrs
LOL,English,4.4,2012.0,16+,1,32,1-2 hrs
Amari Duniya Tamari Duniya,Gujarati,,2007.0,All,2,13,2-3 hrs
Project Y,English,,2020.0,13+,0,44,30-60 mins
Robin Hood,English,6.6,2010.0,13+,2,20,2-3 hrs
Mardaani,Hindi,7.3,2014.0,18+,1,53,1-2 hrs
Simham Puli,Telugu,,2011.0,NR,2,34,2-3 hrs
Go For Goals,Bengali,,2017.0,13+,1,41,1-2 hrs
Autograph,Bengali,7.4,2017.0,13+,2,12,2-3 hrs
The Cabin Guard,Bengali,4.9,2019.0,13+,1,25,1-2 hrs
Ondu Hennina Kathe,Kannada,,1972.0,NR,2,27,2-3 hrs
The Forgotten Genocide: Europe's Gypsies in World War II,English,8.2,2020.0,13+,1,15,1-2 hrs
Ulagam Pirandhadhu Enakkaga,Tamil,,1990.0,All,2,28,2-3 hrs
HAK_MTL,English,6.1,2020.0,13+,1,7,1-2 hrs
The Lego Movie,English,7.7,2014.0,All,1,40,1-2 hrs
Zoo Laka Taka,Telugu,6.0,1989.0,NR,1,36,1-2 hrs
Life is Beautiful,Hindi,,2014.0,NR,1,56,1-2 hrs
Chanda,Kannada,,2007.0,NR,2,34,2-3 hrs
Saawariya - Khatu Shyam Ji Ki Amar Gatha,Hindi,,2013.0,NR,2,3,2-3 hrs
London Has Fallen,Hindi,5.9,2016.0,18+,1,34,1-2 hrs
Summer in Bethlehem,Malayalam,7.8,1998.0,All,2,34,2-3 hrs
Tarpan,Hindi,,1995.0,NR,2,4,2-3 hrs
Michael,Bengali,5.7,2018.0,13+,2,13,2-3 hrs
King - Malayalam,Malayalam,,2002.0,NR,2,37,2-3 hrs
Quick,English,5.8,2011.0,16+,1,47,1-2 hrs
Hey Ram,Hindi,7.9,2000.0,NR,3,19,>3 hrs
Karpagam,Tamil,7.4,1963.0,All,2,49,2-3 hrs
Vellinakshatram,Malayalam,4.8,2004.0,All,2,36,2-3 hrs
Jeevan Ek Sanghursh,Hindi,4.9,1990.0,All,2,39,2-3 hrs
Bal Ganesh and PomZom Planet (Tamil),Tamil,,2017.0,All,1,20,1-2 hrs
Vaagai Sooda Vaa,Tamil,8.0,2011.0,All,2,5,2-3 hrs
Anne Frank: A Sister's Story,English,,2020.0,13+,0,23,<30 mins
Bal Ganesh (Gujarati),Gujarati,6.9,2007.0,All,1,42,1-2 hrs
Honeymoon Travels Pvt Ltd,Hindi,6.1,2007.0,13+,1,59,1-2 hrs
Dishoom,Hindi,5.1,2016.0,NR,2,1,2-3 hrs
Mayuri,Malayalam,,2000.0,NR,1,18,1-2 hrs
On Going Home,English,,2020.0,13+,0,19,<30 mins
Telangana's Pride - Nagoba Jathara,English,,2020.0,13+,0,58,30-60 mins
Sharkwater Extinction,English,7.7,2019.0,16+,1,24,1-2 hrs
Generation Wealth,English,6.7,2018.0,18+,1,46,1-2 hrs
Aakrosh,Hindi,7.0,2010.0,18+,2,25,2-3 hrs
Zombieland: Double Tap,Telugu,6.7,2019.0,18+,1,39,1-2 hrs
Loki,Kannada,,2013.0,NR,2,16,2-3 hrs
Invisible Wildlife Photographer,English,,2019.0,13+,0,51,30-60 mins
Nivuru,Telugu,,2018.0,18+,2,12,2-3 hrs
Sesh Parba,Bengali,,1972.0,NR,2,6,2-3 hrs
Appetite for Destruction: The Palm Oil Diaries,English,5.3,2020.0,13+,0,60,>3 hrs
King Solomon,Malayalam,6.8,1996.0,NR,2,27,2-3 hrs
Punnami Naagu,Telugu,7.2,1980.0,18+,2,10,2-3 hrs
Aurangzeb,Hindi,6.5,2013.0,16+,2,17,2-3 hrs
Nirbachana,English,6.0,1994.0,NR,1,42,1-2 hrs
Jaganmohini,Telugu,6.6,1978.0,All,2,26,2-3 hrs
American Hustle,English,7.2,2013.0,18+,2,18,2-3 hrs
The Pom Pom Girls,English,5.0,1976.0,18+,1,29,1-2 hrs
Vaai Kozhuppu,Tamil,3.6,1989.0,NR,2,17,2-3 hrs
Ae Dil Hai Mushkil,Hindi,5.8,2016.0,13+,2,35,2-3 hrs
Khuli Khidki - Pratibha Sharma,Hindi,,2013.0,All,0,9,<30 mins
Love 86,Hindi,5.7,1986.0,All,2,20,2-3 hrs
Barood,Bengali,6.0,2017.0,13+,2,22,2-3 hrs
Jagriti,Hindi,6.9,,All,2,18,2-3 hrs
Bedeneer Prem,Bengali,,2017.0,13+,2,26,2-3 hrs
Lego Marvel: Avengers Reassembled,English,6.2,2015.0,7+,0,22,<30 mins
Janta Hawaldar,Hindi,6.4,1979.0,NR,2,6,2-3 hrs
Thira,Malayalam,7.3,2013.0,All,1,49,1-2 hrs
Letters From Generation RX,English,,2019.0,13+,0,50,30-60 mins
Top Cat,Marathi,4.6,2012.0,13+,1,26,1-2 hrs
My Husband's Wife,Hindi,,2011.0,NR,2,6,2-3 hrs
The Program,English,6.5,2015.0,18+,1,43,1-2 hrs
Golmaal Again,Hindi,5.0,2017.0,13+,2,24,2-3 hrs
Anukokunda Oka Roju,Telugu,8.0,2005.0,All,2,25,2-3 hrs
Tharam,Malayalam,,2005.0,NR,2,3,2-3 hrs
Tulkalam,Bengali,5.4,2017.0,13+,2,12,2-3 hrs
Captain Monsterica & The Purple Protector,English,,2019.0,All,1,16,1-2 hrs
We Go Way Back,English,6.1,2006.0,NR,1,19,1-2 hrs
Hendthighelbedi,Kannada,,1989.0,NR,2,23,2-3 hrs
Dev Bhoomi - Land of the Gods,Hindi,7.5,2016.0,13+,1,32,1-2 hrs
Marjala,Kannada,3.5,1986.0,NR,2,12,2-3 hrs
Samadhan,Bengali,7.3,1979.0,NR,2,8,2-3 hrs
"Siam, The Elephant",English,,2020.0,13+,0,53,30-60 mins
Neti Dowrjanyam,Telugu,,1990.0,NR,1,55,1-2 hrs
Anweshan,Bengali,,1984.0,NR,1,58,1-2 hrs
Bhikari,Marathi,6.0,2017.0,13+,2,3,2-3 hrs
Grace Of Monaco,English,5.7,2014.0,All,1,42,1-2 hrs
Elan,Hindi,6.2,,NR,2,4,2-3 hrs
Ichak,Marathi,5.8,2017.0,All,1,44,1-2 hrs
The Ballad of Lefty Brown,English,6.3,2017.0,18+,1,51,1-2 hrs
Full 3 Dhamaal,Marathi,5.7,2008.0,All,1,50,1-2 hrs
Yoddha (2014),Bengali,,2017.0,13+,2,30,2-3 hrs
Abhinandana,Telugu,7.5,1988.0,NR,2,10,2-3 hrs
Transformers: Revenge of the Fallen,English,6.0,2009.0,13+,2,29,2-3 hrs
Before I Wake,Hindi,6.2,2018.0,16+,1,33,1-2 hrs
BOSS 2,Bengali,5.0,2017.0,13+,2,25,2-3 hrs
Keeping and Saving,English,,2020.0,13+,0,53,30-60 mins
Ali Baba 40 Dongalu,Telugu,7.3,,NR,2,59,2-3 hrs
Doorbeen,Punjabi,5.9,2019.0,13+,2,5,2-3 hrs
Chhota Bheem - Romani Adventure,Hindi,,2020.0,All,1,1,1-2 hrs
Gharshana,Telugu,,2004.0,18+,2,38,2-3 hrs
Daggaraga Duranga,Telugu,5.1,2011.0,13+,2,20,2-3 hrs
Khota Sikka Jaat Ke Thaat,Hindi,,2014.0,NR,1,56,1-2 hrs
Ashdod Citadel,English,8.1,2020.0,13+,0,26,<30 mins
Makkala Sakshi,Kannada,,1994.0,NR,1,12,1-2 hrs
WRECKER (Driver from Hell),Hindi,3.4,2017.0,16+,1,13,1-2 hrs
Rajar Meye Parul,Bengali,,1993.0,NR,2,15,2-3 hrs
Pyari Behna,Hindi,6.7,1985.0,NR,2,16,2-3 hrs
Ek Phool Do Mali,Hindi,6.6,,All,2,46,2-3 hrs
THE MAGIC OF HARRY POTTER,English,7.2,2000.0,All,0,40,30-60 mins
Bad Boys II,Tamil,6.6,2003.0,13+,2,26,2-3 hrs
Wonder Woman (2017),English,7.4,2017.0,13+,2,21,2-3 hrs
Bandhuvulostunnaru Jagratha,Telugu,6.8,1989.0,All,0,0,<30 mins
Troop Zero,English,6.9,2020.0,7+,1,37,1-2 hrs
Cowgirls 'n Angels 2: Dakota's Summer,English,5.6,2014.0,13+,1,30,1-2 hrs
Around The World In 80 Days,English,5.9,2004.0,7+,1,59,1-2 hrs
Horns,English,6.5,2014.0,18+,1,55,1-2 hrs
Book of Shadows: The Blair Witch 2,English,4.0,2000.0,18+,1,30,1-2 hrs
Pokkiri Raja,Tamil,6.2,1982.0,All,2,18,2-3 hrs
Miyyav,Kannada,5.5,2002.0,NR,1,40,1-2 hrs
Bal Ganesh And The Pomzom Planet  (Malayalam),Malayalam,,2017.0,All,1,19,1-2 hrs
Lacchimdeviki O Lekkundi,Telugu,5.2,2016.0,13+,1,47,1-2 hrs
Misti Madhur,Bengali,,1993.0,NR,2,6,2-3 hrs
Dayana,Malayalam,,2000.0,NR,1,17,1-2 hrs
Salaam Namaste,Hindi,6.2,2005.0,13+,2,38,2-3 hrs
"YASHKA, BATTALION OF DEATH",English,,2019.0,13+,0,53,30-60 mins
Mongolia - In The Shadow of Genghis Khan,English,,2019.0,13+,0,55,30-60 mins
Prematho Mee Karthik,Telugu,6.6,2017.0,All,1,55,1-2 hrs
Sakkha Savatra,Marathi,,2007.0,All,2,12,2-3 hrs
Overtake,Malayalam,6.8,2017.0,All,1,59,1-2 hrs
Short Term 12,English,8.0,2013.0,18+,1,36,1-2 hrs
People Like Us,English,7.1,2012.0,16+,1,54,1-2 hrs
Bakso Bondi,Bengali,,2018.0,13+,0,21,<30 mins
UNTRACEABLE,English,6.2,2008.0,13+,1,36,1-2 hrs
Chaos Theory,Malayalam,6.6,2018.0,All,0,17,<30 mins
Maharasan,Tamil,6.2,1993.0,NR,2,24,2-3 hrs
Maai Baap,Marathi,,2007.0,All,1,50,1-2 hrs
Encounter - The Killing,Hindi,6.3,2002.0,13+,2,26,2-3 hrs
Agnipankh,Hindi,4.5,2004.0,All,2,14,2-3 hrs
Dongala Vetagaadu,Telugu,,1985.0,NR,2,9,2-3 hrs
Fantastic Beasts and Where to Find Them,Telugu,7.3,2016.0,13+,2,12,2-3 hrs
Rathaavara,Kannada,6.5,2015.0,13+,2,11,2-3 hrs
The Ninth Configuration,English,7.0,1980.0,18+,1,57,1-2 hrs
Sneham,Malayalam,6.8,1998.0,NR,2,14,2-3 hrs
2016 The End,Hindi,5.8,2017.0,13+,2,1,2-3 hrs
Beautiful Boy,English,7.3,2018.0,18+,0,0,<30 mins
Rocket Singh Salesman of the Year,Hindi,7.5,2009.0,13+,2,34,2-3 hrs
Aparajito,Bengali,8.4,2017.0,13+,1,33,1-2 hrs
Sivakasi,Tamil,5.3,2005.0,All,2,55,2-3 hrs
Big Game,Tamil,5.4,2015.0,16+,1,27,1-2 hrs
Terminator Genisys,English,6.3,2015.0,13+,2,5,2-3 hrs
Unrelated,English,6.8,2007.0,NR,1,35,1-2 hrs
Welcome,Hindi,6.9,2007.0,13+,2,29,2-3 hrs
Gangs of Wasseypur Part 1,Hindi,8.2,2012.0,18+,2,41,2-3 hrs
Ghar Basake Dekho,Hindi,5.8,,NR,2,19,2-3 hrs
GAMBIT,English,5.7,2013.0,13+,1,29,1-2 hrs
Ab To Jagoo,Hindi,,2013.0,NR,1,30,1-2 hrs
Rajavinte Makan,Malayalam,7.6,1986.0,NR,2,8,2-3 hrs
Around Them,English,,2020.0,13+,0,52,30-60 mins
Manya Sajjana,Marathi,,2008.0,All,2,0,2-3 hrs
Adarshavanthudu,Telugu,,,NR,2,6,2-3 hrs
Mahanati (Telugu),Telugu,8.5,2018.0,All,2,50,2-3 hrs
Yatra (Malayalam),Malayalam,8.2,2019.0,All,2,5,2-3 hrs
Cat in the Hat,English,4.0,2003.0,7+,1,21,1-2 hrs
Kirdar E Sardar,Punjabi,7.2,2017.0,13+,2,16,2-3 hrs
Alvin and the Chipmunks: The Squeakquel,English,4.5,2009.0,All,1,28,1-2 hrs
Touring Talkies,English,7.7,2020.0,13+,0,52,30-60 mins
Pratignya,Bengali,,1985.0,NR,1,57,1-2 hrs
Gold,Hindi,7.3,2018.0,13+,2,25,2-3 hrs
Baap Re Baap Dokyala Taap,Marathi,6.0,2008.0,All,2,20,2-3 hrs
Rapture-Palooza,English,5.2,2013.0,18+,1,24,1-2 hrs
Jane Anjane,Hindi,,1971.0,NR,2,19,2-3 hrs
Aloo Paratha,Bengali,,2020.0,13+,0,4,<30 mins
C.B.I. Shankar,Kannada,7.7,1989.0,NR,2,10,2-3 hrs
Billa No. 786,Hindi,4.5,2001.0,NR,2,20,2-3 hrs
Darna Mana Hai,Hindi,6.3,2003.0,18+,1,56,1-2 hrs
Vivaha Bhojanambu,Telugu,7.7,1988.0,NR,2,18,2-3 hrs
Hear No Evil,English,5.1,1993.0,18+,1,36,1-2 hrs
Homefront,Telugu,6.5,2013.0,18+,1,36,1-2 hrs
Bobbili Brahmanna,Telugu,5.4,1984.0,NR,2,2,2-3 hrs
Hum Ho Gaye Aap Ke,Hindi,4.2,2001.0,13+,2,37,2-3 hrs
Ellame En Pondattithaan,Tamil,,1998.0,All,2,32,2-3 hrs
Okkadu,Telugu,8.0,2003.0,NR,2,35,2-3 hrs
The Collection,English,6.1,2012.0,18+,1,17,1-2 hrs
Tere Pyar Mein,Hindi,,1979.0,NR,1,48,1-2 hrs
The Stolen Princess (Telugu),Telugu,,2018.0,All,1,28,1-2 hrs
Prithibir Sesh Station,Bengali,,1993.0,NR,2,4,2-3 hrs
Pudhu Yugam,Tamil,,1985.0,NR,0,0,<30 mins
The Peanut Seller,Hindi,,2017.0,All,0,19,<30 mins
Bazaar,Kannada,5.9,2019.0,13+,2,27,2-3 hrs
It Happened One Christmas,English,6.2,1977.0,13+,1,50,1-2 hrs
Ente Kaanakkuyil,Malayalam,,1985.0,NR,1,56,1-2 hrs
Silly Fellows,Telugu,6.0,2018.0,All,2,3,2-3 hrs
Kaya Hiner Kahini,Bengali,6.9,1973.0,NR,1,53,1-2 hrs
Raatriki Velayara,Telugu,,1994.0,NR,0,59,30-60 mins
Chitchor,Hindi,7.5,1976.0,All,1,42,1-2 hrs
Kanoon,Hindi,7.9,,All,2,19,2-3 hrs
Hit (The First Case),Telugu,7.7,2020.0,13+,2,8,2-3 hrs
Srinivasa Kalyanam,Hindi,6.1,2018.0,All,2,2,2-3 hrs
Shuddh Desi Romance,Hindi,5.8,2013.0,13+,2,6,2-3 hrs
Bal Ganesh (Malayalam),Malayalam,,2007.0,All,1,42,1-2 hrs
The Bongs Again,Bengali,5.5,2017.0,13+,1,56,1-2 hrs
Mettukudi,Tamil,6.6,1996.0,All,2,15,2-3 hrs
Touch Chesi Chudu,Telugu,4.8,2018.0,13+,2,21,2-3 hrs
Sadi Gali Aaya Karo,Punjabi,,2012.0,All,2,15,2-3 hrs
Zenda,Marathi,7.0,2009.0,13+,2,1,2-3 hrs
Streetscapes [Dialogue],English,,2017.0,NR,2,11,2-3 hrs
Dugout,English,,2019.0,13+,0,52,30-60 mins
Padmaavat,Telugu,7.0,2018.0,13+,2,42,2-3 hrs
Kinaare,Kannada,,2018.0,13+,2,35,2-3 hrs
Chirantan,Bengali,,1979.0,NR,1,40,1-2 hrs
Pangali,Tamil,,1992.0,NR,2,40,2-3 hrs
Looper,English,7.4,2012.0,18+,1,54,1-2 hrs
Sahasam Swasaga Sagipo,Telugu,6.9,2016.0,13+,2,16,2-3 hrs
Mujhse Fraaandship Karoge,Hindi,6.9,2011.0,13+,1,44,1-2 hrs
Thavamai Thavamirunthu,Tamil,7.8,2005.0,All,3,24,>3 hrs
Air Strike,Hindi,3.2,2018.0,18+,1,37,1-2 hrs
Lights Out,Tamil,6.3,2016.0,18+,1,20,1-2 hrs
The Burning Hell,English,3.6,1974.0,NR,0,59,30-60 mins
Room,English,8.1,2015.0,16+,1,53,1-2 hrs
Pahare Atankya,Bengali,,2016.0,13+,2,3,2-3 hrs
Kayamkulam Kanaran,Malayalam,3.9,2002.0,NR,1,54,1-2 hrs
Mariah Carey's All I Want For Christmas Is You,English,,2017.0,All,1,30,1-2 hrs
Drona,Hindi,,2008.0,NR,2,24,2-3 hrs
Punjab Singh,Punjabi,6.2,2018.0,13+,2,30,2-3 hrs
Shriman Prithviraj,Bengali,,2017.0,13+,1,47,1-2 hrs
Her,English,8.0,2014.0,18+,2,1,2-3 hrs
The Matrix,English,8.7,1999.0,18+,2,16,2-3 hrs
Chingari,Kannada,5.6,2012.0,13+,2,7,2-3 hrs
Bobby Jasoos,Hindi,5.5,2014.0,All,1,56,1-2 hrs
Fanaa,Hindi,7.2,2006.0,13+,2,48,2-3 hrs
Bhoot Part One - The Haunted Ship,Hindi,5.4,2020.0,16+,1,50,1-2 hrs
Gavthi,Marathi,7.5,2018.0,NR,2,32,2-3 hrs
Rammstein in Amerika - Live from Madison Square Garden,English,8.7,2015.0,18+,1,41,1-2 hrs
Cinerama’s Russian Adventure,English,,,7+,2,7,2-3 hrs
Maaveeran,Tamil,7.6,1986.0,NR,2,36,2-3 hrs
Mithai,Telugu,4.3,2019.0,13+,2,17,2-3 hrs
Made with Pride,English,,2020.0,13+,0,56,30-60 mins
Aaron,Marathi,7.3,2018.0,13+,1,55,1-2 hrs
Jack Ryan: Shadow Recruit,Hindi,6.2,2014.0,13+,1,45,1-2 hrs
Chira Bhandhavya,Kannada,,1993.0,NR,2,14,2-3 hrs
Texas Chainsaw Massacre,Hindi,4.8,2013.0,18+,1,28,1-2 hrs
Adhinayakudu,Telugu,3.6,2012.0,18+,2,31,2-3 hrs
Mutthanna,Kannada,8.6,1994.0,NR,2,26,2-3 hrs
Dictator - Yudh Ek Jung,Hindi,,2016.0,NR,2,26,2-3 hrs
Jakkanna,Telugu,6.0,2016.0,13+,2,16,2-3 hrs
Elysium,Hindi,6.6,2013.0,18+,1,49,1-2 hrs
Born To Race,Marathi,6.0,2012.0,16+,1,38,1-2 hrs
Bandobast,Telugu,6.3,2019.0,13+,2,43,2-3 hrs
Gamer,Telugu,5.8,2009.0,18+,1,34,1-2 hrs
3 Monkeys,Telugu,6.5,2020.0,13+,2,8,2-3 hrs
Prem Ratan Dhan Payo,Hindi,4.4,2015.0,All,2,44,2-3 hrs
Ramji Rao Speaking,Malayalam,8.5,1989.0,NR,2,20,2-3 hrs
Nazrana Pyar Ka,Hindi,4.9,1980.0,NR,2,23,2-3 hrs
Endless Love,English,5.0,1981.0,18+,1,55,1-2 hrs
Apple Cake,Kannada,6.5,2018.0,13+,2,22,2-3 hrs
Mr 7,Telugu,,2012.0,NR,1,54,1-2 hrs
